From;To;Length in meter
a109;a110;11222
a109;a5109;26931
a110;a111;8376
a110;a5110;21510
a111;a112;19545
a111;a5111;37863
a112;a113;11104
a112;a5112;38258
a113;a114;6733
a113;a5113;22446
a114;a115;20485
a114;a5114;3081
a115;a116;7503
a115;a5115;38485
a116;a117;43284
a116;a5116;11196
a117;a118;12418
a117;a5117;47828
a118;a119;18862
a118;a5118;49690
a119;a120;47809
a119;a5119;31487
a120;a121;40649
a120;a5120;16501
a121;a122;29373
a121;a5121;24603
a122;a123;30645
a122;a5122;35041
a123;a124;26659
a123;a5123;49505
a124;a125;14502
a124;a5124;44691
a125;a126;6144
a125;a5125;4503
a126;a127;51076
a126;a5126;33814
a127;a128;15205
a127;a5127;21921
a128;a129;15669
a128;a5128;19844
a129;a130;27908
a129;a5129;41392
a130;a131;20627
a130;a5130;20524
a131;a132;46270
a131;a5131;3415
a132;a133;30428
a132;a5132;51413
a133;a134;37397
a133;a5133;3839
a134;a135;40956
a134;a5134;27452
a135;a136;37734
a135;a5135;12018
a136;a137;44266
a136;a5136;40501
a137;a138;20571
a137;a5137;44172
a138;a139;40808
a138;a5138;30578
a139;a140;51871
a139;a5139;48735
a140;a141;40838
a140;a5140;15807
a141;a142;2550
a141;a5141;2314
a142;a143;15506
a142;a5142;44959
a143;a144;42374
a143;a5143;33316
a144;a145;16023
a144;a5144;36936
a145;a146;11807
a145;a5145;35244
a146;a147;26167
a146;a5146;23514
a147;a148;3346
a147;a5147;3224
a148;a149;49452
a148;a5148;15262
a149;a150;33136
a149;a5149;25384
a150;a151;7260
a150;a5150;15646
a151;a152;46999
a151;a5151;35402
a152;a153;38392
a152;a5152;15045
a153;a154;32400
a153;a5153;33741
a154;a155;43661
a154;a5154;4647
a155;a156;49325
a155;a5155;12871
a156;a157;11367
a156;a5156;9992
a157;a158;48568
a157;a5157;26129
a158;a159;40818
a158;a5158;5344
a159;a160;15500
a159;a5159;20773
a160;a161;51406
a160;a5160;32965
a161;a162;11044
a161;a5161;13275
a162;a163;24172
a162;a5162;15917
a163;a164;29270
a163;a5163;18885
a164;a165;21294
a164;a5164;19028
a165;a166;2808
a165;a5165;8154
a166;a167;16459
a166;a5166;30343
a167;a168;13092
a167;a5167;50211
a168;a169;45710
a168;a5168;4518
a169;a170;2359
a169;a5169;16344
a170;a171;4027
a170;a5170;30405
a171;a172;38262
a171;a5171;7698
a172;a173;17633
a172;a5172;7360
a173;a174;49984
a173;a5173;37751
a174;a175;15812
a174;a5174;38719
a175;a176;36823
a175;a5175;43659
a176;a177;8911
a176;a5176;26288
a177;a178;46353
a177;a5177;20496
a178;a179;51083
a178;a5178;26718
a179;a180;29476
a179;a5179;18972
a180;a181;27354
a180;a5180;9202
a181;a182;3946
a181;a5181;20313
a182;a183;4611
a182;a5182;34040
a183;a184;46276
a183;a5183;51615
a184;a185;25254
a184;a5184;3329
a185;a186;34329
a185;a5185;31249
a186;a187;50386
a186;a5186;18267
a187;a188;29360
a187;a5187;36623
a188;a189;26705
a188;a5188;12396
a189;a190;16774
a189;a5189;16012
a190;a191;7508
a190;a5190;16458
a191;a192;19467
a191;a5191;22025
a192;a193;3609
a192;a5192;48511
a193;a194;6242
a193;a5193;26771
a194;a195;24400
a194;a5194;12422
a195;a196;40506
a195;a5195;37837
a196;a197;42743
a196;a5196;28941
a197;a198;51228
a197;a5197;19733
a198;a199;29962
a198;a5198;16179
a199;a200;8937
a199;a5199;37684
a200;a201;8788
a200;a5200;30491
a201;a202;4488
a201;a5201;29319
a202;a203;12807
a202;a5202;24549
a203;a204;7211
a203;a5203;25109
a204;a205;20678
a204;a5204;26665
a205;a206;22139
a205;a5205;30260
a206;a207;2204
a206;a5206;44322
a207;a208;23040
a207;a5207;49155
a208;a209;21176
a208;a5208;45324
a209;a210;9156
a209;a5209;28428
a210;a211;36874
a210;a5210;21940
a211;a212;18741
a211;a5211;16280
a212;a213;32042
a212;a5212;47019
a213;a214;31758
a213;a5213;33730
a214;a215;20257
a214;a5214;36158
a215;a216;7427
a215;a5215;28181
a216;a217;49684
a216;a5216;36703
a217;a218;29711
a217;a5217;30873
a218;a219;23394
a218;a5218;22609
a219;a220;25286
a219;a5219;17589
a220;a221;48677
a220;a5220;34014
a221;a222;24035
a221;a5221;26338
a222;a223;9046
a222;a5222;11730
a223;a224;51724
a223;a5223;16618
a224;a225;23022
a224;a5224;39830
a225;a226;28132
a225;a5225;12369
a226;a227;13196
a226;a5226;23987
a227;a228;41612
a227;a5227;4727
a228;a229;7545
a228;a5228;49282
a229;a230;32853
a229;a5229;51301
a230;a231;32558
a230;a5230;28856
a231;a232;46409
a231;a5231;45867
a232;a233;34296
a232;a5232;23928
a233;a234;48487
a233;a5233;46050
a234;a235;29223
a234;a5234;36489
a235;a236;13409
a235;a5235;36898
a236;a237;41356
a236;a5236;48279
a237;a238;49207
a237;a5237;25081
a238;a239;26089
a238;a5238;3523
a239;a240;14877
a239;a5239;51818
a240;a241;13916
a240;a5240;8375
a241;a242;27960
a241;a5241;32684
a242;a243;29186
a242;a5242;46971
a243;a244;21328
a243;a5243;28899
a244;a245;50018
a244;a5244;42607
a245;a246;32322
a245;a5245;27862
a246;a247;25554
a246;a5246;22647
a247;a248;45707
a247;a5247;10298
a248;a249;5839
a248;a5248;27477
a249;a250;14320
a249;a5249;7666
a250;a251;17782
a250;a5250;37062
a251;a252;47726
a251;a5251;6192
a252;a253;37905
a252;a5252;23488
a253;a254;39725
a253;a5253;33292
a254;a255;18864
a254;a5254;24236
a255;a256;50123
a255;a5255;18035
a256;a257;22114
a256;a5256;18875
a257;a258;14837
a257;a5257;49757
a258;a259;43485
a258;a5258;31386
a259;a260;31092
a259;a5259;17993
a260;a261;41948
a260;a5260;21352
a261;a262;51253
a261;a5261;2478
a262;a263;44381
a262;a5262;19917
a263;a264;19647
a263;a5263;44120
a264;a265;50765
a264;a5264;10583
a265;a266;51641
a265;a5265;16580
a266;a267;4908
a266;a5266;50667
a267;a268;33178
a267;a5267;33370
a268;a269;25546
a268;a5268;26570
a269;a270;12015
a269;a5269;17237
a270;a271;11439
a270;a5270;34862
a271;a272;8952
a271;a5271;26984
a272;a273;41983
a272;a5272;31653
a273;a274;48529
a273;a5273;31883
a274;a275;41738
a274;a5274;44707
a275;a276;43823
a275;a5275;45346
a276;a277;13295
a276;a5276;46314
a277;a278;19292
a277;a5277;27608
a278;a279;17934
a278;a5278;40082
a279;a280;18906
a279;a5279;41875
a280;a281;47642
a280;a5280;21486
a281;a282;24215
a281;a5281;49551
a282;a283;35231
a282;a5282;30261
a283;a284;48469
a283;a5283;8006
a284;a285;41539
a284;a5284;22555
a285;a286;28391
a285;a5285;38625
a286;a287;39987
a286;a5286;2120
a287;a288;4813
a287;a5287;13855
a288;a289;39134
a288;a5288;12762
a289;a290;17028
a289;a5289;19379
a290;a291;43291
a290;a5290;8780
a291;a292;33379
a291;a5291;31619
a292;a293;49743
a292;a5292;36185
a293;a294;2432
a293;a5293;11336
a294;a295;18678
a294;a5294;25109
a295;a296;34854
a295;a5295;51292
a296;a297;28528
a296;a5296;13012
a297;a298;16051
a297;a5297;29603
a298;a299;45109
a298;a5298;39052
a299;a300;3539
a299;a5299;10763
a300;a301;37683
a300;a5300;22283
a301;a302;31091
a301;a5301;3097
a302;a303;18848
a302;a5302;10226
a303;a304;23713
a303;a5303;24868
a304;a305;18043
a304;a5304;9818
a305;a306;23710
a305;a5305;51191
a306;a307;20377
a306;a5306;39714
a307;a308;38273
a307;a5307;10462
a308;a309;13457
a308;a5308;21504
a309;a310;43288
a309;a5309;22108
a310;a311;34970
a310;a5310;7526
a311;a312;16406
a311;a5311;17092
a312;a313;2849
a312;a5312;24650
a313;a314;24806
a313;a5313;8884
a314;a315;38070
a314;a5314;46650
a315;a316;9533
a315;a5315;35325
a316;a317;7318
a316;a5316;42607
a317;a318;38810
a317;a5317;21214
a318;a319;19095
a318;a5318;35155
a319;a320;47306
a319;a5319;17320
a320;a321;2181
a320;a5320;40332
a321;a322;36993
a321;a5321;4007
a322;a323;29804
a322;a5322;50277
a323;a324;37900
a323;a5323;6696
a324;a325;26328
a324;a5324;11114
a325;a326;13890
a325;a5325;5967
a326;a327;5865
a326;a5326;40949
a327;a328;49360
a327;a5327;37284
a328;a329;43778
a328;a5328;27139
a329;a330;17699
a329;a5329;14026
a330;a331;22752
a330;a5330;37705
a331;a332;11272
a331;a5331;22814
a332;a333;24826
a332;a5332;29099
a333;a334;5729
a333;a5333;31939
a334;a335;9597
a334;a5334;31414
a335;a336;38499
a335;a5335;22130
a336;a337;26641
a336;a5336;42536
a337;a338;2496
a337;a5337;43871
a338;a339;7146
a338;a5338;14786
a339;a340;41251
a339;a5339;26979
a340;a341;15728
a340;a5340;21117
a341;a342;30958
a341;a5341;16295
a342;a343;18437
a342;a5342;43092
a343;a344;48249
a343;a5343;31963
a344;a345;37110
a344;a5344;29539
a345;a346;49913
a345;a5345;4012
a346;a347;13339
a346;a5346;33047
a347;a348;32224
a347;a5347;8721
a348;a349;47633
a348;a5348;41255
a349;a350;43053
a349;a5349;38627
a350;a351;10586
a350;a5350;31305
a351;a352;39536
a351;a5351;18896
a352;a353;43263
a352;a5352;38717
a353;a354;17696
a353;a5353;40293
a354;a355;23436
a354;a5354;46499
a355;a356;38139
a355;a5355;12985
a356;a357;22763
a356;a5356;16329
a357;a358;33689
a357;a5357;6042
a358;a359;17591
a358;a5358;51288
a359;a360;10682
a359;a5359;24613
a360;a361;42637
a360;a5360;48819
a361;a362;45509
a361;a5361;40530
a362;a363;42504
a362;a5362;23336
a363;a364;31976
a363;a5363;32322
a364;a365;30713
a364;a5364;50201
a365;a366;3043
a365;a5365;7510
a366;a367;9717
a366;a5366;6696
a367;a368;32603
a367;a5367;23436
a368;a369;38263
a368;a5368;11044
a369;a370;19087
a369;a5369;42858
a370;a371;4347
a370;a5370;37511
a371;a372;12916
a371;a5371;7078
a372;a373;23026
a372;a5372;14236
a373;a374;24041
a373;a5373;32468
a374;a375;28376
a374;a5374;40506
a375;a376;34194
a375;a5375;35900
a376;a377;18029
a376;a5376;41932
a377;a378;40830
a377;a5377;20841
a378;a379;36849
a378;a5378;15199
a379;a380;26202
a379;a5379;8608
a380;a381;3587
a380;a5380;48893
a381;a382;25549
a381;a5381;28683
a382;a383;40637
a382;a5382;43288
a383;a384;12920
a383;a5383;37840
a384;a385;12358
a384;a5384;39900
a385;a386;31840
a385;a5385;20339
a386;a387;11890
a386;a5386;11142
a387;a388;20697
a387;a5387;30481
a388;a389;9843
a388;a5388;51446
a389;a390;19512
a389;a5389;24375
a390;a391;40802
a390;a5390;3869
a391;a392;45589
a391;a5391;39976
a392;a393;5209
a392;a5392;50399
a393;a394;40411
a393;a5393;23135
a394;a395;4838
a394;a5394;39875
a395;a396;19136
a395;a5395;12706
a396;a397;9829
a396;a5396;24832
a397;a398;47040
a397;a5397;39592
a398;a399;24049
a398;a5398;27379
a399;a400;24336
a399;a5399;13018
a400;a401;23397
a400;a5400;4712
a401;a402;31956
a401;a5401;12311
a402;a403;38599
a402;a5402;36834
a403;a404;26077
a403;a5403;23956
a404;a405;40032
a404;a5404;12646
a405;a406;18429
a405;a5405;11847
a406;a407;7153
a406;a5406;45672
a407;a408;42786
a407;a5407;33273
a408;a409;29231
a408;a5408;7384
a409;a410;35387
a409;a5409;14396
a410;a411;37246
a410;a5410;24354
a411;a412;48542
a411;a5411;26804
a412;a413;9062
a412;a5412;45258
a413;a414;22143
a413;a5413;11016
a414;a415;21272
a414;a5414;45138
a415;a416;7426
a415;a5415;23753
a416;a417;41481
a416;a5416;47279
a417;a418;20931
a417;a5417;43257
a418;a419;14220
a418;a5418;7539
a419;a420;4356
a419;a5419;50972
a420;a421;42151
a420;a5420;22061
a421;a422;27727
a421;a5421;18485
a422;a423;51802
a422;a5422;36896
a423;a424;49164
a423;a5423;15806
a424;a425;9654
a424;a5424;7279
a425;a426;34401
a425;a5425;20761
a426;a427;20091
a426;a5426;25024
a427;a428;43183
a427;a5427;49574
a428;a429;41466
a428;a5428;4862
a429;a430;7673
a429;a5429;45561
a430;a431;50310
a430;a5430;44367
a431;a432;10087
a431;a5431;6242
a432;a433;16597
a432;a5432;47605
a433;a434;12907
a433;a5433;49183
a434;a435;24903
a434;a5434;29616
a435;a436;5255
a435;a5435;13384
a436;a437;37251
a436;a5436;47400
a437;a438;3232
a437;a5437;16142
a438;a439;43525
a438;a5438;33231
a439;a440;30411
a439;a5439;34972
a440;a441;34421
a440;a5440;37782
a441;a442;7013
a441;a5441;10383
a442;a443;10076
a442;a5442;23814
a443;a444;42795
a443;a5443;18096
a444;a445;4777
a444;a5444;35991
a445;a446;9166
a445;a5445;38638
a446;a447;14415
a446;a5446;8770
a447;a448;10631
a447;a5447;8153
a448;a449;8741
a448;a5448;12228
a449;a450;34337
a449;a5449;16730
a450;a451;44890
a450;a5450;25221
a451;a452;29141
a451;a5451;29603
a452;a453;22127
a452;a5452;16320
a453;a454;2448
a453;a5453;42160
a454;a455;30317
a454;a5454;5589
a455;a456;23865
a455;a5455;41844
a456;a457;46238
a456;a5456;24478
a457;a458;39606
a457;a5457;38792
a458;a459;22529
a458;a5458;36830
a459;a460;30556
a459;a5459;42281
a460;a461;43788
a460;a5460;31349
a461;a462;39911
a461;a5461;51954
a462;a463;43151
a462;a5462;44723
a463;a464;3387
a463;a5463;51167
a464;a465;30545
a464;a5464;25047
a465;a466;36140
a465;a5465;34781
a466;a467;30705
a466;a5466;47199
a467;a468;15745
a467;a5467;25274
a468;a469;15072
a468;a5468;45375
a469;a470;49836
a469;a5469;29107
a470;a471;36702
a470;a5470;33125
a471;a472;30364
a471;a5471;9974
a472;a473;41448
a472;a5472;37917
a473;a474;3798
a473;a5473;6754
a474;a475;31843
a474;a5474;35505
a475;a476;28056
a475;a5475;51797
a476;a477;2353
a476;a5476;29206
a477;a478;42488
a477;a5477;49498
a478;a479;45961
a478;a5478;30539
a479;a480;46787
a479;a5479;6030
a480;a481;2407
a480;a5480;10659
a481;a482;18357
a481;a5481;8576
a482;a483;27843
a482;a5482;6481
a483;a484;45384
a483;a5483;36443
a484;a485;14127
a484;a5484;31477
a485;a486;14600
a485;a5485;47015
a486;a487;23554
a486;a5486;8752
a487;a488;18590
a487;a5487;16692
a488;a489;31407
a488;a5488;13195
a489;a490;37346
a489;a5489;30636
a490;a491;34411
a490;a5490;30239
a491;a492;2767
a491;a5491;5492
a492;a493;37889
a492;a5492;11100
a493;a494;22796
a493;a5493;46027
a494;a495;28227
a494;a5494;28235
a495;a496;23972
a495;a5495;30105
a496;a497;20115
a496;a5496;10182
a497;a498;17314
a497;a5497;36324
a498;a499;39959
a498;a5498;11970
a499;a500;2680
a499;a5499;25237
a500;a501;17834
a500;a5500;5843
a501;a502;50969
a501;a5501;8113
a502;a503;10407
a502;a5502;7160
a503;a504;41912
a503;a5503;36902
a504;a505;16366
a504;a5504;32037
a505;a506;37556
a505;a5505;25266
a506;a507;24073
a506;a5506;16538
a507;a508;38018
a507;a5507;13315
a508;a509;48376
a508;a5508;12045
a509;a510;46590
a509;a5509;18050
a510;a511;19836
a510;a5510;7803
a511;a512;15879
a511;a5511;17413
a512;a513;34972
a512;a5512;19589
a513;a514;5276
a513;a5513;48312
a514;a515;10559
a514;a5514;22939
a515;a516;2783
a515;a5515;8038
a516;a517;8488
a516;a5516;50459
a517;a518;50980
a517;a5517;34063
a518;a519;10270
a518;a5518;15333
a519;a520;17736
a519;a5519;49382
a520;a521;21843
a520;a5520;17371
a521;a522;17194
a521;a5521;49291
a522;a523;30049
a522;a5522;33662
a523;a524;15461
a523;a5523;20745
a524;a525;11861
a524;a5524;43234
a525;a526;48510
a525;a5525;27319
a526;a527;16249
a526;a5526;33975
a527;a528;36843
a527;a5527;11190
a528;a529;46431
a528;a5528;40536
a529;a530;2608
a529;a5529;8516
a530;a531;17187
a530;a5530;13920
a531;a532;30092
a531;a5531;46151
a532;a533;47887
a532;a5532;27027
a533;a534;9762
a533;a5533;35700
a534;a535;26942
a534;a5534;25567
a535;a536;19350
a535;a5535;5586
a536;a537;47500
a536;a5536;40414
a537;a538;22888
a537;a5537;13045
a538;a539;17380
a538;a5538;35766
a539;a540;10043
a539;a5539;5711
a540;a541;38458
a540;a5540;27246
a541;a542;3620
a541;a5541;6811
a542;a543;32057
a542;a5542;15490
a543;a544;32691
a543;a5543;28929
a544;a545;7211
a544;a5544;43695
a545;a546;2431
a545;a5545;28713
a546;a547;28118
a546;a5546;2099
a547;a548;39470
a547;a5547;48984
a548;a549;35587
a548;a5548;18427
a549;a550;3319
a549;a5549;5266
a550;a551;14826
a550;a5550;40987
a551;a552;30267
a551;a5551;10936
a552;a553;28526
a552;a5552;40250
a553;a554;16043
a553;a5553;48905
a554;a555;49869
a554;a5554;25541
a555;a556;47478
a555;a5555;38016
a556;a557;34851
a556;a5556;45748
a557;a558;11434
a557;a5557;9216
a558;a559;17055
a558;a5558;16863
a559;a560;41333
a559;a5559;49935
a560;a561;40935
a560;a5560;44582
a561;a562;7783
a561;a5561;45096
a562;a563;21543
a562;a5562;37207
a563;a564;19974
a563;a5563;39718
a564;a565;29652
a564;a5564;32667
a565;a566;28813
a565;a5565;21147
a566;a567;51247
a566;a5566;43566
a567;a568;11072
a567;a5567;18629
a568;a569;9505
a568;a5568;5909
a569;a570;16243
a569;a5569;44152
a570;a571;15522
a570;a5570;50356
a571;a572;24218
a571;a5571;51263
a572;a573;31298
a572;a5572;49702
a573;a574;42457
a573;a5573;17925
a574;a575;34798
a574;a5574;32653
a575;a576;15866
a575;a5575;15369
a576;a577;22247
a576;a5576;41885
a577;a578;31275
a577;a5577;7378
a578;a579;17264
a578;a5578;3915
a579;a580;21068
a579;a5579;33482
a580;a581;29907
a580;a5580;19339
a581;a582;7346
a581;a5581;15109
a582;a583;21258
a582;a5582;24639
a583;a584;28769
a583;a5583;35929
a584;a585;30801
a584;a5584;20947
a585;a586;7164
a585;a5585;36336
a586;a587;14481
a586;a5586;10903
a587;a588;39921
a587;a5587;27276
a588;a589;21129
a588;a5588;32073
a589;a590;47211
a589;a5589;20512
a590;a591;3670
a590;a5590;24229
a591;a592;10164
a591;a5591;40798
a592;a593;19446
a592;a5592;18298
a593;a594;7248
a593;a5593;30411
a594;a595;20877
a594;a5594;36722
a595;a596;41347
a595;a5595;28028
a596;a597;23688
a596;a5596;48579
a597;a598;49247
a597;a5597;2032
a598;a599;14966
a598;a5598;27927
a599;a600;48626
a599;a5599;42970
a600;a601;27429
a600;a5600;20527
a601;a602;4980
a601;a5601;21137
a602;a603;9469
a602;a5602;32341
a603;a604;42422
a603;a5603;43028
a604;a605;12749
a604;a5604;13026
a605;a606;27775
a605;a5605;44726
a606;a607;50448
a606;a5606;19039
a607;a608;26974
a607;a5607;41247
a608;a609;49610
a608;a5608;3852
a609;a610;16436
a609;a5609;8290
a610;a611;30467
a610;a5610;47354
a611;a612;29756
a611;a5611;6904
a612;a613;44098
a612;a5612;2513
a613;a614;31850
a613;a5613;22153
a614;a615;37334
a614;a5614;5047
a615;a616;38520
a615;a5615;24051
a616;a617;40436
a616;a5616;11002
a617;a618;39272
a617;a5617;22723
a618;a619;38730
a618;a5618;47932
a619;a620;35209
a619;a5619;30060
a620;a621;44145
a620;a5620;37642
a621;a622;21812
a621;a5621;6972
a622;a623;26367
a622;a5622;22376
a623;a624;28514
a623;a5623;18742
a624;a625;46224
a624;a5624;51737
a625;a626;23120
a625;a5625;40971
a626;a627;5794
a626;a5626;14648
a627;a628;49314
a627;a5627;5125
a628;a629;40753
a628;a5628;29222
a629;a630;39781
a629;a5629;45794
a630;a631;30506
a630;a5630;33535
a631;a632;35782
a631;a5631;11441
a632;a633;40776
a632;a5632;51989
a633;a634;46434
a633;a5633;26612
a634;a635;41465
a634;a5634;45191
a635;a636;47386
a635;a5635;46407
a636;a637;9878
a636;a5636;36112
a637;a638;49105
a637;a5637;23300
a638;a639;35681
a638;a5638;41648
a639;a640;9566
a639;a5639;12365
a640;a641;39306
a640;a5640;26643
a641;a642;24784
a641;a5641;23379
a642;a643;49985
a642;a5642;36955
a643;a644;3332
a643;a5643;37353
a644;a645;13039
a644;a5644;9188
a645;a646;17741
a645;a5645;40605
a646;a647;8617
a646;a5646;47362
a647;a648;26547
a647;a5647;41670
a648;a649;15688
a648;a5648;50953
a649;a650;25586
a649;a5649;25037
a650;a651;45771
a650;a5650;24523
a651;a652;16150
a651;a5651;11022
a652;a653;50596
a652;a5652;46451
a653;a654;20592
a653;a5653;32892
a654;a655;26731
a654;a5654;23143
a655;a656;33075
a655;a5655;10798
a656;a657;48033
a656;a5656;5582
a657;a658;14283
a657;a5657;47018
a658;a659;3720
a658;a5658;47023
a659;a660;24132
a659;a5659;38564
a660;a661;5863
a660;a5660;34257
a661;a662;35786
a661;a5661;51296
a662;a663;5104
a662;a5662;29950
a663;a664;37592
a663;a5663;24335
a664;a665;17571
a664;a5664;20285
a665;a666;6975
a665;a5665;24805
a666;a667;19086
a666;a5666;20371
a667;a668;31756
a667;a5667;50702
a668;a669;5028
a668;a5668;49697
a669;a670;9896
a669;a5669;34048
a670;a671;45510
a670;a5670;51298
a671;a672;28243
a671;a5671;27375
a672;a673;35871
a672;a5672;41220
a673;a674;4489
a673;a5673;14085
a674;a675;51926
a674;a5674;39396
a675;a676;24273
a675;a5675;17228
a676;a677;17902
a676;a5676;49089
a677;a678;17114
a677;a5677;41876
a678;a679;32529
a678;a5678;19693
a679;a680;40691
a679;a5679;23394
a680;a681;25364
a680;a5680;46887
a681;a682;32892
a681;a5681;17655
a682;a683;31121
a682;a5682;34852
a683;a684;44994
a683;a5683;9506
a684;a685;24487
a684;a5684;17620
a685;a686;37361
a685;a5685;32668
a686;a687;51723
a686;a5686;10466
a687;a688;51123
a687;a5687;37629
a688;a689;28200
a688;a5688;37710
a689;a690;15458
a689;a5689;14081
a690;a691;42962
a690;a5690;10304
a691;a692;10268
a691;a5691;20978
a692;a693;22360
a692;a5692;5113
a693;a694;28347
a693;a5693;50387
a694;a695;4884
a694;a5694;27971
a695;a696;19453
a695;a5695;50968
a696;a697;18418
a696;a5696;24245
a697;a698;51073
a697;a5697;13126
a698;a699;29307
a698;a5698;33906
a699;a700;37155
a699;a5699;20685
a700;a701;49878
a700;a5700;22925
a701;a702;16580
a701;a5701;3246
a702;a703;47355
a702;a5702;9184
a703;a704;7717
a703;a5703;29342
a704;a705;42440
a704;a5704;39020
a705;a706;24085
a705;a5705;12922
a706;a707;20312
a706;a5706;10055
a707;a708;8803
a707;a5707;14787
a708;a709;50214
a708;a5708;26985
a709;a710;32312
a709;a5709;6144
a710;a711;22414
a710;a5710;19669
a711;a712;48670
a711;a5711;23635
a712;a713;12881
a712;a5712;47013
a713;a714;20608
a713;a5713;33913
a714;a715;26728
a714;a5714;5933
a715;a716;2504
a715;a5715;41101
a716;a717;51193
a716;a5716;11958
a717;a718;13437
a717;a5717;12351
a718;a719;17736
a718;a5718;16940
a719;a720;39571
a719;a5719;15092
a720;a721;30682
a720;a5720;29760
a721;a722;26261
a721;a5721;4547
a722;a723;16771
a722;a5722;7928
a723;a724;5463
a723;a5723;21639
a724;a725;35970
a724;a5724;41543
a725;a726;3328
a725;a5725;9466
a726;a727;18924
a726;a5726;6196
a727;a728;36167
a727;a5727;31237
a728;a729;10566
a728;a5728;18094
a729;a730;30356
a729;a5729;23731
a730;a731;2564
a730;a5730;32940
a731;a732;43248
a731;a5731;48155
a732;a733;29514
a732;a5732;39910
a733;a734;17631
a733;a5733;4614
a734;a735;35104
a734;a5734;13443
a735;a736;21872
